FIPS,GF_Type,GF_Vuln00,Prob16_00v
48201331800,6,1,91.31
48201331900,2,1,69.93
48201332000,2,1,89.25
48201332100,3,1,73.04
48201332200,2,1,74.97
48201332300,6,1,67.43
48201332400,2,1,82.9
48201332500,2,1,66.18
48201332600,4,1,63.12
48201332700,2,1,56.94
48201332800,6,1,74.25
48201332900,6,1,79.89
48201333000,2,1,41.67
48201333100,3,1,49.64
48201333201,6,1,78.3
48201333202,3,1,71.73
48201333300,6,1,32.52
48201333500,6,1,50.98
48201333600,0,0,0
48201333700,6,1,25.93
48201333800,6,1,19.67
48201333901,0,0,0
48201333902,0,0,6.98
48201334001,0,0,22.53
48201334002,0,0,0
48201334003,0,0,0
48201334100,2,1,0
48201340100,0,0,0
48201340201,0,0,0
48201340202,0,0,0
48201340203,0,0,0
48201340301,0,0,0
48201340302,0,0,0
48201340400,0,0,0
48201340500,0,0,0
48201340600,0,0,0
48201340700,0,0,0
48201340800,0,0,0
48201340900,0,0,0
48201341000,0,0,0
48201341100,0,0,0
48201341201,0,0,0
48201341202,0,0,0
48201341301,0,0,0
48201341302,0,0,0
48201341400,0,0,0
48201341501,0,0,0
48201341502,0,0,0
48201341600,0,0,0
48201341700,0,0,0
48201341800,0,0,0
48201342001,0,0,0
48201342002,0,0,0
48201342100,0,0,0
48201342200,3,1,0
48201342300,0,0,0
48201342400,6,1,0
48201342500,0,0,0
48201342700,0,0,0
48201342800,0,0,0
48201342900,0,0,0
48201343000,0,0,0
48201343100,0,0,0
48201343200,0,0,0
48201343301,0,0,0
48201343302,0,0,0
48201343600,0,0,0
48201343700,7,1,11.14
48201350100,0,0,0
48201350200,0,0,0
48201350300,0,0,0
48201350400,0,0,11.24
48201350500,3,1,15.31
48201350601,0,0,0
48201350602,0,0,0
48201350700,0,0,0
48201350801,0,0,0
48201350802,0,0,0
48201410100,4,1,0
48201410200,1,0,0
48201410300,0,0,0
48201410401,0,0,0
48201410402,0,0,0
48201410500,1,0,0
48201410600,0,0,0
48201410701,0,0,0
48201410702,0,0,0
48201410800,0,0,0
48201410900,0,0,0
48201411000,0,0,0
48201411100,0,0,0
48201411200,0,0,0
48201411300,0,0,0
48201411400,0,0,0
48201411501,0,0,0
48201411502,0,0,0
48201411600,0,0,0
48201411700,0,0,0
48201411800,0,0,0
48201411900,0,0,0
48201412000,0,0,0
48201412100,0,0,0
48201412200,0,0,0
48201412300,0,0,0
48201412400,0,0,0
48201412500,0,0,0
48201412600,0,0,0
48201412700,0,0,0
48201412800,0,0,0
48201412900,0,0,0
48201413000,0,0,0
48201413100,0,0,0
48201413201,0,0,0
48201413202,0,0,0
48201413300,0,0,0
48201420100,5,1,44.7
48201420200,2,1,0
48201420300,0,0,0
48201420400,0,0,0
48201420500,3,1,53.99
48201420600,0,0,0
48201420700,0,0,0
48201420800,0,0,0
48201420900,0,0,0
48201421000,0,0,0
48201421101,3,1,37.61
48201421102,3,1,75.14
48201421201,3,1,79.52
48201421202,1,1,89.81
48201421300,6,1,77.23
48201421401,6,1,93.19
48201421402,6,1,94.02
48201421403,6,1,52.43
48201421500,2,1,13.93
48201421600,2,1,0.04
48201421700,0,0,0
48201421800,0,0,0
48201421900,0,0,0
48201422000,0,0,0
48201422100,0,0,0
48201422200,6,1,63.6
48201422301,6,1,71.85
48201422302,2,1,52.11
48201422401,6,1,81.22
48201422402,2,1,34.62
48201422500,2,1,10.77
48201422600,4,1,0
48201422701,3,0,36.22
48201422702,0,0,0
48201422800,6,1,0
48201422900,6,1,75.83
48201423000,6,1,70.76
48201423100,6,1,76.68
48201423201,2,1,0
48201423202,6,1,49.54
48201423301,6,1,0
48201423302,6,1,40.37
48201423401,0,0,24.81
48201423402,0,0,0
48201423500,0,0,0
48201423600,0,0,0
48201430100,0,0,0
48201430200,0,0,0
48201430300,0,0,0
48201430400,0,0,0
48201430500,0,0,0
48201430600,0,0,0
48201430700,0,0,0
48201430800,0,0,0
48201430900,0,0,0
48201431000,0,0,0
48201431101,0,0,0
48201431102,0,0,0
48201431201,0,0,0
48201431202,0,0,0
48201431301,0,0,0
48201431302,0,0,0
48201431401,0,0,0
48201431402,0,0,0
48201431501,0,0,0
48201431502,0,0,0
48201431600,0,0,0
48201431700,0,0,0
48201431801,0,0,0
48201431802,0,0,0
48201431900,1,0,0
48201432001,1,0,0
48201432002,1,0,0
48201432100,0,0,0
48201432200,0,0,0
48201432300,3,1,6.76
48201432400,6,1,0
48201432500,3,1,71.93
48201432600,0,0,0
48201432701,6,1,96.58
48201432702,2,1,0
48201432801,6,1,72.11
48201432802,6,1,81.62
48201432901,6,1,34.1
48201432902,6,1,29.59
48201433001,6,1,85.41
48201433002,6,1,87.93
48201433003,6,1,56.58
48201433100,2,1,49.26
48201433201,3,1,59.92
48201433202,6,1,49.91
48201433300,0,0,0
48201433400,3,1,56.59
48201433501,6,1,72.86
48201433502,6,1,48.37
48201433600,6,1,81.01
48201440100,0,0,6.32
48201450100,0,0,0
48201450200,0,0,0
48201450300,0,0,0
48201450400,0,0,0
48201450500,0,0,0
48201450600,0,0,0
48201450700,0,0,0
48201450801,1,0,0
48201450802,1,0,0
48201450900,0,0,0
48201451001,6,1,0
48201451002,6,1,39.93
48201451100,0,0,0
48201451200,0,0,0
48201451300,0,0,0
48201451401,0,0,0
48201451402,0,0,0
48201451403,0,0,0
48201451500,0,0,0
48201451601,0,0,0
48201451602,0,0,0
48201451700,0,0,0
48201451800,3,0,0
48201451901,6,1,23.57
48201451902,2,1,0
48201452000,0,0,0
48201452100,0,0,0
48201452201,6,1,60.49
48201452202,0,0,0
48201452300,0,0,14.64
48201452400,6,1,44.98
48201452500,3,1,52.21
48201452600,6,1,14.69
48201452700,6,1,0
48201452801,2,1,0
48201452802,6,1,36.07
48201452900,6,1,50.15
48201453000,6,1,18.5
48201453100,6,1,64.79
48201453200,6,1,48.48
48201453300,6,1,47.31
48201453401,6,1,31.92
48201453402,3,1,15.39
48201453403,6,1,60.52
48201453501,0,0,26.28
48201453502,0,0,16.43
48201453601,6,1,65.44
48201453602,6,1,38.48
48201453700,3,1,26.07
48201453800,0,0,0
48201453900,0,0,9.65
48201454000,0,0,0
48201454100,0,0,0
48201454200,0,0,0
48201454301,0,0,4.4
48201454302,0,0,0
48201454400,0,0,0
48201454501,0,0,0
48201454502,0,0,0
48201454600,0,0,0
48201454700,0,0,0
48201454800,0,0,0
48201454900,0,0,0
48201455000,0,0,0
48201455101,0,0,0
48201455102,0,0,0
48201455200,0,0,0
48201455300,0,0,0
48201510100,5,1,0
48201510200,7,1,0
48201510300,1,0,0
48201510400,1,0,0
48201510500,7,1,0
48201510600,7,1,0
48201510700,1,0,0
48201510800,1,0,0
48201510900,7,1,0
48201511001,0,0,0
48201511002,0,0,0
48201511100,7,1,0
48201511200,2,1,0
48201511301,1,0,0
48201511302,1,0,0
48201511400,1,0,0
48201511500,7,1,0
48201511600,5,1,38.75
48201520100,4,1,0
48201520200,1,0,0
48201520300,5,1,10.38
48201520400,3,1,47.6
48201520500,6,1,38.79
48201520601,3,1,54.48
48201520602,6,1,39.78
48201520700,1,0,0
48201521000,3,1,2.06
48201521100,3,1,4.76
48201521200,6,1,27.74
48201521300,2,1,29.63
48201521400,6,1,48.31
48201521500,6,1,0
48201521600,4,1,6.56
48201521700,3,1,25.27
48201521800,0,0,0
48201521900,0,0,0
48201522000,2,1,0
48201522100,0,0,0
48201522201,2,1,30.15
48201522202,6,1,36.17
48201522301,3,1,0
48201522302,2,1,0
48201522401,2,1,0
48201522402,2,1,0
48201522500,0,0,0
48201530100,6,1,33.44
48201530200,0,0,0
48201530300,3,1,79.9
48201530400,3,1,87.85
48201530500,6,1,80.25
48201530600,4,1,78.24
48201530700,6,1,74.17
48201530800,7,1,0
48201530900,0,0,0
48201531000,0,0,0
48201531100,0,0,0
48201531200,0,0,0
48201531300,6,1,17.78
48201531400,0,0,0
48201531500,0,0,0
48201531600,0,0,0
48201531700,0,0,0
48201531800,3,1,64.77
48201531900,5,1,65.21
48201532001,3,1,45.47
48201532002,2,1,0
48201532100,6,1,59.17
48201532200,6,1,64
48201532300,0,0,8
48201532400,0,0,0
48201532501,0,0,0
48201532502,0,0,16.49
48201532600,6,1,47.82
48201532700,0,0,0
48201532800,0,0,0
48201532900,6,1,46.41
48201533000,6,1,84.93
48201533100,0,0,0
48201533200,3,1,27.55
48201533300,2,1,91.78
48201533400,2,1,38.97
48201533500,0,0,0
48201533600,2,1,39.36
48201533701,6,1,33.07
48201533702,2,1,9.38
48201533801,6,1,2.3
48201533802,6,1,0
48201533901,0,0,20.1
48201533902,6,1,24.28
48201534001,6,1,27.32
48201534002,6,1,16.2
48201534003,6,1,0
48201534100,0,0,0
48201534201,3,0,1.79
48201534202,0,0,0
48201534203,0,0,0
48201540100,0,0,0
48201540200,6,1,30.86
48201540501,3,0,5.16
48201540502,0,0,0
48201540601,0,0,0
48201540602,0,0,0
48201540700,0,0,0
48201540800,0,0,0
48201540901,0,0,0
48201540902,0,0,0
48201541001,0,0,0
48201541002,0,0,0
48201541003,0,0,0
48201541100,0,0,0
48201541201,0,0,0
48201541202,0,0,0
48201541203,0,0,0
48201541300,0,0,1.21
48201541400,0,0,0
48201541500,0,0,0
48201541601,0,0,0
48201541602,0,0,0
48201541700,0,0,0
48201541800,0,0,0
48201541900,0,0,0
48201542000,0,0,0
48201542101,0,0,0
48201542102,0,0,0
48201542200,0,0,0
48201542301,0,0,0
48201542302,0,0,0
48201542400,3,0,0
48201542500,0,0,0
48201542600,0,0,0
48201542700,0,0,0
48201542800,0,0,0
48201542900,0,0,0
48201543001,0,0,0
48201543002,0,0,0
48201543003,0,0,0
48201543100,0,0,0
48201543200,0,0,0
48201550100,6,1,82.99
48201550200,6,1,62.98
48201550301,0,0,43.87
48201550302,0,0,13.01
48201550401,6,1,16.55
48201550402,6,1,0
48201550500,2,1,11.35
48201550601,0,0,0
48201550602,0,0,0
48201550603,0,0,15.94
48201550700,0,0,0
48201550800,0,0,5.01
48201550900,0,0,0
48201551000,0,0,16.93
48201551100,0,0,13.88
48201551200,0,0,0
48201551300,0,0,0
48201551400,0,0,0
48201551500,0,0,0
48201551600,0,0,0
48201551701,0,0,0
48201551702,0,0,0
48201551703,0,0,0
48201551800,0,0,0
48201551900,0,0,24.93
48201552001,0,0,0
48201552002,0,0,0
48201552101,0,0,0
48201552102,0,0,0
48201552103,0,0,0
48201552200,0,0,0
48201552301,0,0,0
48201552302,0,0,0
48201552400,0,0,0
48201552500,0,0,0
48201552601,0,0,0
48201552602,0,0,0
48201552700,0,0,0
48201552800,0,0,0
48201552900,0,0,0
48201553001,0,0,0
48201553002,0,0,0
48201553100,0,0,0
48201553200,0,0,0
48201553300,0,0,26.96
48201553401,0,0,0
48201553402,0,0,0
48201553403,0,0,0
48201553500,0,0,0
48201553600,0,0,0
48201553700,0,0,0
48201553801,0,0,0
48201553802,0,0,0
48201553900,0,0,0
48201554001,0,0,0
48201554002,0,0,0
48201554101,0,0,0
48201554102,0,0,0
48201554200,0,0,0
48201554301,0,0,0
48201554302,0,0,0
48201554401,0,0,0
48201554402,0,0,0
